,home_team,empate_home,gano_home,perdio_home,empate_away,perdio_away,gano_away,gano,perdio,empate,num_partidos,gano_perc,perdio_perc,empate_perc,tournament_name,index_tournament
623,Tigres,2.0,6.0,1.0,4.0,5.0,1.0,7.0,6.0,6.0,19.0,0.3684210526315789,0.3157894736842105,0.3157894736842105,clausura 2005,35
624,Toluca,1.0,4.0,3.0,4.0,3.0,2.0,6.0,6.0,5.0,17.0,0.35294117647058826,0.35294117647058826,0.29411764705882354,clausura 2005,35
625,Veracruz,3.0,3.0,2.0,2.0,7.0,0.0,0.0,9.0,5.0,14.0,0.0,0.6428571428571429,0.35714285714285715,clausura 2005,35
626,America,1.0,7.0,2.0,1.0,2.0,5.0,12.0,4.0,2.0,18.0,0.6666666666666666,0.2222222222222222,0.1111111111111111,apertura 2005,36
627,Atlante,1.0,3.0,3.0,1.0,7.0,1.0,4.0,10.0,2.0,16.0,0.25,0.625,0.125,apertura 2005,36
628,Atlas,2.0,4.0,3.0,0.0,5.0,2.0,6.0,8.0,0.0,14.0,0.42857142857142855,0.5714285714285714,0.0,apertura 2005,36
629,Chiapas FC,2.0,4.0,1.0,2.0,7.0,0.0,0.0,8.0,4.0,12.0,0.0,0.6666666666666666,0.3333333333333333,apertura 2005,36
630,Chivas,2.0,3.0,2.0,5.0,3.0,1.0,4.0,5.0,7.0,16.0,0.25,0.3125,0.4375,apertura 2005,36
631,Club Queretaro,4.0,4.0,1.0,3.0,3.0,1.0,5.0,4.0,7.0,16.0,0.3125,0.25,0.4375,apertura 2005,36
632,Cruz Azul,3.0,5.0,1.0,1.0,5.0,3.0,8.0,6.0,4.0,18.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,apertura 2005,36
633,Dorados,1.0,4.0,2.0,2.0,6.0,1.0,5.0,8.0,3.0,16.0,0.3125,0.5,0.1875,apertura 2005,36
634,Estudiantes,2.0,5.0,3.0,1.0,6.0,1.0,6.0,9.0,3.0,18.0,0.3333333333333333,0.5,0.16666666666666666,apertura 2005,36
635,Monterrey,4.0,6.0,2.0,2.0,2.0,6.0,12.0,4.0,6.0,22.0,0.5454545454545454,0.18181818181818182,0.2727272727272727,apertura 2005,36
636,Morelia,2.0,4.0,3.0,0.0,6.0,1.0,5.0,9.0,0.0,14.0,0.35714285714285715,0.6428571428571429,0.0,apertura 2005,36
637,Necaxa,1.0,5.0,2.0,3.0,4.0,3.0,8.0,6.0,4.0,18.0,0.4444444444444444,0.3333333333333333,0.2222222222222222,apertura 2005,36
638,Pachuca,5.0,5.0,1.0,3.0,2.0,4.0,9.0,3.0,8.0,20.0,0.45,0.15,0.4,apertura 2005,36
639,Pumas,1.0,3.0,4.0,3.0,4.0,1.0,4.0,8.0,4.0,16.0,0.25,0.5,0.25,apertura 2005,36
640,Santos,1.0,4.0,2.0,3.0,5.0,1.0,5.0,7.0,4.0,16.0,0.3125,0.4375,0.25,apertura 2005,36
641,Tigres,2.0,4.0,3.0,2.0,5.0,4.0,8.0,8.0,4.0,20.0,0.4,0.4,0.2,apertura 2005,36
642,Toluca,3.0,7.0,2.0,3.0,3.0,4.0,11.0,5.0,6.0,22.0,0.5,0.22727272727272727,0.2727272727272727,apertura 2005,36
643,Veracruz,2.0,1.0,4.0,4.0,3.0,2.0,3.0,7.0,6.0,16.0,0.1875,0.4375,0.375,apertura 2005,36
